frame_start, 71, frame_end, 111, speed, 56.65 
frame_start, 107, frame_end, 147, speed, 53.74 
frame_start, 245, frame_end, 285, speed, 49.06 
frame_start, 275, frame_end, 315, speed, 48.89 
frame_start, 314, frame_end, 354, speed, 56.01 
frame_start, 373, frame_end, 413, speed, 51.12 
frame_start, 708, frame_end, 748, speed, 52.86 
frame_start, 750, frame_end, 790, speed, 54.23 
frame_start, 867, frame_end, 907, speed, 52.39 
frame_start, 936, frame_end, 976, speed, 54.76 
frame_start, 2157, frame_end, 2197, speed, 16.69 
frame_start, 2222, frame_end, 2262, speed, 22.13 
frame_start, 2289, frame_end, 2329, speed, 27.55 
frame_start, 2332, frame_end, 2372, speed, 31.31 
frame_start, 2389, frame_end, 2429, speed, 35.56 
frame_start, 2579, frame_end, 2619, speed, 48.86 
frame_start, 2625, frame_end, 2665, speed, 50.03 
frame_start, 2802, frame_end, 2842, speed, 51.53 
frame_start, 2878, frame_end, 2918, speed, 48.87 
frame_start, 2919, frame_end, 2959, speed, 46.56 
frame_start, 2953, frame_end, 2993, speed, 43.53 
frame_start, 3179, frame_end, 3219, speed, 56.6 
frame_start, 3223, frame_end, 3263, speed, 53.87 
frame_start, 3257, frame_end, 3297, speed, 51.47 
frame_start, 3339, frame_end, 3379, speed, 55.25 
frame_start, 3385, frame_end, 3425, speed, 56.96 
frame_start, 3469, frame_end, 3509, speed, 56.86 
frame_start, 3508, frame_end, 3548, speed, 56.86 
frame_start, 4646, frame_end, 4686, speed, 19.82 
frame_start, 4779, frame_end, 4819, speed, 23.44 
frame_start, 4829, frame_end, 4869, speed, 31.19 
frame_start, 4906, frame_end, 4946, speed, 34.92 
frame_start, 4963, frame_end, 5003, speed, 35.29 
frame_start, 5026, frame_end, 5066, speed, 36.7 
frame_start, 5142, frame_end, 5182, speed, 42.86 
frame_start, 5174, frame_end, 5214, speed, 46.37 
frame_start, 5344, frame_end, 5384, speed, 47.7 
frame_start, 5377, frame_end, 5417, speed, 47.98 
frame_start, 5426, frame_end, 5466, speed, 47.74 
frame_start, 5532, frame_end, 5572, speed, 50.88 
frame_start, 5754, frame_end, 5794, speed, 49.79 
frame_start, 5914, frame_end, 5954, speed, 53.69 
