Carro 1,56.65 
Carro 2,53.74 
Carro 3,49.06 
Carro 4,48.89 
Carro 5,56.01 
Carro 6,51.12 
Carro 7,52.86 
Carro 8,54.23 
Carro 9,52.39 
Carro 10,54.76 
Carro 11,16.69 
Carro 12,22.13 
Carro 13,27.55 
Carro 14,31.31 
Carro 15,35.56 
Carro 16,48.86 
Carro 17,50.03 
Carro 18,51.53 
Carro 19,48.87 
Carro 20,46.56 
Carro 21,43.53 
Carro 22,56.6 
Carro 23,53.87 
Carro 24,51.47 
Carro 25,55.25 
Carro 26,56.96 
Carro 27,56.86 
Carro 28,19.82 
Carro 29,23.44 
Carro 30,31.19 
Carro 31,34.92 
Carro 32,35.29 
Carro 33,36.7 
Carro 34,42.86 
Carro 35,46.37 
Carro 36,47.7 
Carro 37,47.98 
Carro 38,47.74 
Carro 39,50.88 
Carro 40,49.79 
Carro 41,53.69 
