Carro 1,52.13 
Carro 2,50.51 
Carro 2,50.51 
Carro 3,48.83 
Carro 4,49.16 
Carro 4,49.16 
Carro 6,58.33 
Carro 7,53.55 
Carro 8,50.84 
Carro 10,19.33 
Carro 11,24.87 
Carro 13,57.07 
Carro 14,50.59 
Carro 15,51.02 
Carro 16,48.42 
Carro 17,51.11 
Carro 18,44.33 
Carro 19,50.03 
Carro 20,42.23 
Carro 21,52.97 
Carro 22,50.06 
Carro 24,54.43 
Carro 24,54.43 
Carro 24,54.43 
Carro 24,54.43 
Carro 24,54.43 
Carro 24,54.43 
Carro 25,24.78 
Carro 29,42.39 
Carro 29,42.39 
Carro 30,40.4 
Carro 31,45.87 
Carro 32,37.65 
Carro 33,48.45 
Carro 34,49.76 
Carro 35,50.71 
Carro 36,51.07 
Carro 37,54.07 
Carro 39,51.52 
Carro 40,48.9 
Carro 41,54.33 
