frame_start, 187, frame_end, 227, speed, 44.09 
frame_start, 238, frame_end, 278, speed, 53.25 
frame_start, 297, frame_end, 337, speed, 46.31 
frame_start, 357, frame_end, 397, speed, 45.1 
frame_start, 410, frame_end, 450, speed, 51.06 
frame_start, 491, frame_end, 531, speed, 45.66 
frame_start, 517, frame_end, 557, speed, 42.85 
frame_start, 556, frame_end, 596, speed, 46.06 
frame_start, 602, frame_end, 642, speed, 45.95 
frame_start, 670, frame_end, 710, speed, 47.82 
frame_start, 732, frame_end, 772, speed, 45.11 
frame_start, 1880, frame_end, 1920, speed, 25.74 
frame_start, 1994, frame_end, 2034, speed, 23.37 
frame_start, 2122, frame_end, 2162, speed, 41.84 
frame_start, 2169, frame_end, 2209, speed, 40.39 
frame_start, 2234, frame_end, 2274, speed, 43.58 
frame_start, 2476, frame_end, 2516, speed, 45.85 
frame_start, 2511, frame_end, 2551, speed, 45.99 
frame_start, 2554, frame_end, 2594, speed, 46.93 
frame_start, 2592, frame_end, 2632, speed, 48.18 
frame_start, 2789, frame_end, 2829, speed, 50.36 
frame_start, 2888, frame_end, 2928, speed, 52.88 
frame_start, 2971, frame_end, 3011, speed, 56.57 
frame_start, 4301, frame_end, 4341, speed, 19.23 
frame_start, 4386, frame_end, 4426, speed, 24.23 
frame_start, 4452, frame_end, 4492, speed, 29.96 
frame_start, 4478, frame_end, 4518, speed, 32.19 
frame_start, 4638, frame_end, 4678, speed, 47.95 
frame_start, 4700, frame_end, 4740, speed, 53.74 
frame_start, 4738, frame_end, 4778, speed, 55.36 
frame_start, 4842, frame_end, 4882, speed, 45.93 
frame_start, 4992, frame_end, 5032, speed, 47.32 
frame_start, 5036, frame_end, 5076, speed, 47.67 
frame_start, 5086, frame_end, 5126, speed, 43.51 
frame_start, 5143, frame_end, 5183, speed, 45.74 
frame_start, 5227, frame_end, 5267, speed, 52.9 
frame_start, 5271, frame_end, 5311, speed, 49.34 
frame_start, 5293, frame_end, 5333, speed, 47.74 
frame_start, 5479, frame_end, 5519, speed, 49.1 
frame_start, 5530, frame_end, 5570, speed, 57.01 
frame_start, 5577, frame_end, 5617, speed, 54.49 
frame_start, 6865, frame_end, 6905, speed, 21.05 
frame_start, 6943, frame_end, 6983, speed, 24.5 
frame_start, 7009, frame_end, 7049, speed, 30.01 
frame_start, 7055, frame_end, 7095, speed, 30.86 
frame_start, 7172, frame_end, 7212, speed, 35.1 
frame_start, 7383, frame_end, 7423, speed, 53.28 
frame_start, 7468, frame_end, 7508, speed, 43.06 
frame_start, 7597, frame_end, 7637, speed, 48.1 
frame_start, 7672, frame_end, 7712, speed, 53.73 
frame_start, 7720, frame_end, 7760, speed, 54.43 
frame_start, 7966, frame_end, 8006, speed, 44.67 
frame_start, 8054, frame_end, 8094, speed, 49.56 
frame_start, 9162, frame_end, 9202, speed, 24.41 
frame_start, 9225, frame_end, 9265, speed, 35.84 
frame_start, 9265, frame_end, 9305, speed, 43.78 
frame_start, 9310, frame_end, 9350, speed, 35.83 
frame_start, 9508, frame_end, 9548, speed, 49.73 
frame_start, 9525, frame_end, 9565, speed, 47.93 
frame_start, 9585, frame_end, 9625, speed, 44.73 
frame_start, 9636, frame_end, 9676, speed, 40.46 
frame_start, 9697, frame_end, 9737, speed, 44.6 
frame_start, 9745, frame_end, 9785, speed, 46.15 
frame_start, 9779, frame_end, 9819, speed, 44.96 
frame_start, 9916, frame_end, 9956, speed, 53.61 
frame_start, 9972, frame_end, 10012, speed, 48.95 
frame_start, 10289, frame_end, 10329, speed, 52.8 
frame_start, 10373, frame_end, 10413, speed, 49.61 
frame_start, 10436, frame_end, 10476, speed, 46.19 
frame_start, 11500, frame_end, 11540, speed, 18.49 
frame_start, 11711, frame_end, 11751, speed, 55.31 
frame_start, 11836, frame_end, 11876, speed, 57.31 
frame_start, 11966, frame_end, 12006, speed, 50.04 
