Carro 1,52.13 
Carro 2,50.51 
Carro 3,48.83 
Carro 4,49.16 
Carro 5,48.44 
Carro 6,53.55 
Carro 7,50.84 
Carro 8,21.51 
Carro 9,19.33 
Carro 10,24.87 
Carro 11,30.53 
Carro 12,57.07 
Carro 13,50.59 
Carro 14,51.02 
Carro 15,48.42 
Carro 16,51.11 
Carro 17,44.33 
Carro 18,50.03 
Carro 19,42.23 
Carro 20,52.97 
Carro 21,50.06 
Carro 22,55.83 
Carro 23,54.43 
Carro 24,24.78 
Carro 25,30.1 
Carro 26,40.4 
Carro 27,45.87 
Carro 28,48.45 
Carro 29,49.76 
Carro 30,50.71 
Carro 31,51.07 
Carro 32,54.07 
Carro 33,55.71 
Carro 34,51.52 
Carro 35,48.9 
Carro 36,54.33 
